sentence,Ambiguous_word,index,sense
ചെറുപയര്‍ \N_NN രസം \N_NN ( രസം \N_NN ) എന്നിവ \N_NN കഴികുന്നത് \V_VM_VNF ദഹനത്തെ \N_NN സഹയിക്കും \V_VM_VF .,രസം,0,കറി
രസം \N_NN ( രസം \N_NN ) ഇപ്പൊ \N_NN തന്നെ \RP_INTF കുടിച്ചു \RB നോകി \V_VM_VNF സ്വാദ് \N_NN അറിയാന്‍ \V_VM_VNF തോന്നുന്നു \V_VM_VF .,രസം,0,കറി
അയാള്‍ക്ക് \PR_PRP ഈ \DM_DMD അടുത്തിടെ \DM_DMQ ആയിട്ട് \V_VM_VNF എന്നോട് \PR_PRP അത്ര \QT_QTF രസം \N_NN ( രസം \N_NN ) ഇല്ല \RP_NEG .,രസം,2,ഇഷ്ടം
ചെറിയ \JJ കുട്ടികള്‍ക്ക് \N_NN പോലും \PSP രസം \N_NN ( രസം \N_NN ) തോണുന്ന \V_VM_VNF വിധത്തില് \N_NN ആണ് \V_VAUX ആ \DM_DMD സിനിമ \N_NN .,രസം,2,ഇഷ്ടം
രസത്തില്‍ \N_NN ( രസത്തില്‍ \N_NN ) ഉപ്പില്ല \V_VM_VF .,രസം,0,കറി
ഒരു \QT_QTC രസത്തിന് \N_NN ( രസത്തിന് \N_NN ) ചെയ്തു \V_VM_VF.,രസം,2,ഇഷ്ടം
രസം \N_NN ( രസം \N_NN  ) ഒരു \QT_QTC മൂലകം \N_NN ആണ് \V_VM.,രസം,1,മെര്‍കുറി
അണുസംഖ്യ \N_NN 80 \QT_QTC ആയ \JJ മൂലകമാണ് \V_VAUX രസം \N_NN ( രസം \N_NN ). ,രസം,1,മെര്‍കുറി
രസത്തിന്റെ \N_NN ( രസത്തിന്റെ \N_NN ) ആറ്റം \N_NN നംമ്പര്‍ \N_NN എണ്‍പത് \QT_QTC .,രസം,1,മെര്‍കുറി
രസത്തിന്റെ \N_NN ( രസത്തിന്റെ \N_NN ) കൂട്ട് \N_NN.,രസം,0,കറി
ഉത്തരം \N_NN ( ഉത്തരം \N_NN) അറിയില്ല \V_VM_VF.,ഉത്തരം,3,മറുപടി
ഉത്തരം \N_NN (ഉത്തരം \N_NN) കിട്ടിയില്ല \V_VM_VF.,ഉത്തരം,3,മറുപടി
ഉത്തരം \N_NN ( ഉത്തരം \N_NN) പൊട്ടി \V_VM_VNF വീഴാറായി \V_VM_VF.,ഉത്തരം,4,തടി
ഉത്തരത്തില്‍ \RD_RDF ( ഉത്തരത്തില്‍ \RD)_RDF കയറാന്‍ \RD_RDF വയ്യ \RD_RDF.,ഉത്തരം,4,തടി
ഭൂതി \N_NN ( ഭൂതി \N_NN) തൊട്ടു \V_VM_VNF.,ഭൂതി,6,ഭസ്മം
അതൊരു \DM_DMD ഭൂതി \N_NN ( ഭൂതി \N_NN ) ആണ് \V_VAUX.,ഭൂതി,5,ഐശ്വര്യം
ഭുതി \N_NN ( ഭൂതി \N_NN) പുഴയില്‍ \N_NN ഒഴുക്കി \V_VM_VNF.,ഭൂതി,6,ഭസ്മം
അയാള്‍ക്ക് \PR_PRP ഭയങ്കര \JJ ഭൂതി \N_NN ( ഭൂതി \N_NN ).,ഭൂതി,5,ഐശ്വര്യം
രസത്തിന്റെ \N_NN (രസത്തിന്റെ  \N_NN) സ്വാദ് \N_NN.,രസം,0,കറി
അകം \N_NN ( അകം \N_NN) പൊള്ളയായതും \V_VM_VNF  വായു \N_NN നിറച്ചതുമായ \JJ പന്തുകൾ \N_NN നിലവിലുണ്ട് \V_VAUX.,അകം,7,ഉള്‍ഭാഗം
സോമന്റെ \N_NN അകം \N_NN ( അകം \N_NN) കുറെ \QT_QTF ദൂരെയാണ്\V_VAUX.,അകം,8,ദേശം
എന്റെ \PR_PRP അകം \N_NN ( അകം \N_ NN) കേരളം \N_NNP.,അകം,8,ദേശം
അകം \N_NN (അകം \N_NN) പൊള്ളയായ \JJ ഒരു \QT_QTC ചെറിയ \JJ ഉരുളൻ \N_NN തടിയുടെ \N_NN രണ്ട് \QT_QTC അറ്റവും \N_NN തുകൽ \N_NN കൊണ്ട് \PSP പൊതിഞ്ഞൊരു \JJ വാദ്യമാണിത് \N_NN.,അകം,7,ഉള്‍ഭാഗം
ജീവിതത്തിലെ \N_NN പിരിമുറുക്കങ്ങൾക്ക് \N_NN അയവ് \N_NN ( അയവ്  \N_NN)വരുത്താൻ \V_VM_VNF വേണ്ടി \RP_RPD ഹാസ്യ \JJ സിനിമകൾ \N_NN ഉപകരിക്കുന്നു \V_VM_VF.,അയവ്,9,മുറുക്കമില്ലായ്മ
പശുക്കള്‍ക്ക് \N_NN അയവ് \N_NN ( അയവ് \N_NN ) കൊടുക്കാന്‍ \V_VM_VNF സമയം \N_NN ആയി \V_VM_VF.,അയവ്,10,തികട്ടിച്ചവയ്ക്കുന്ന ആഹാരം
ചൂരൽ \N_NN കൊണ്ടുള്ള \PSP ഡസൻ \V_VM_VNF കണക്കിന് \N_NN അടി \N_NN ( അടി \N_NN) കിട്ടി \V_VM_VF.,അടി,11,വലിച്ചടിക്കുക
തടിയൻ \N_NNP ഗുസ്തിക്കാരന് \N_NN നല്ലൊരു \JJ അടി \N_NN ( അടി  \N_NN) കൊടുത്തു \V_VM_VF.,അടി,11,വലിച്ചടിക്കുക
നൂറു \QT_QTC അടി \N_NN (അടി \N_NN) ദൂരം \N_NN നടന്നു \V_VM_VF.,അടി,12,അളവ്
നൂറു \QT_QTC അടി \N_NN ( അടി \N_NN ) താഴ്ച്ച \V_VM_VNF ഉളള \PSP കിണറില്‍ \N_NN വീണു \V_VM_VF.,അടി,12,അളവ്
